text,event,severity,outlet,url,bias
"CHICAGO (WLS) -- A U.S. congressional candidate and current state representative said Customs and Border Patrol agents surrounded and harassed him in his vehicle Tuesday on Chicago's Northwest Side. State Rep. Hoan Huynh, a Democrat from Chicago who is running to represent the 9th District, was in his vehicle about 11:30 a.m. near Montrose and Kimball avenues in Albany Park, a news release from his campaign said. Huynh was in the area after hearing of possible U.S. Immigration and Customs Enforcement activity, the release said. Huynh says he got a tip that agents were detaining people on the streets and wanted to warn residents of their rights. The release said six armed CBP agents blocked the front and back of his vehicle, and approached the car. Huynh's campaign said the agents blocked him and staffers from following an unmarked car with ICE agents inside. Huynh also said one of the agents pointed a weapon at him but that wasn't caught on the recording. Huynh was eventually able to leave. Huynh shared cellphone video of the incident. 'This was federal agents using violent intimidation trying to silence us,' Rep. Huynh said. The Department of Homeland Security said in a statement, 'Rep. Huynh was stopped, not once but, twice today for stalking law enforcement and attempting to interfere with operations. He was given a warning the first time he was stopped, and he ignored that warning forcing agents to get out of their car a second time to assess if he was a threat. This behavior is unbecoming of a public servant and is just another example of sanctuary politicians putting our officers at risk.' Huynh is a Vietnamese refugee who came to America as a child when his family was granted asylum after collaborating with American troops during the Vietnam War, the release said. Farther north, a Rogers Park school says a vendor employee was detained Tuesday afternoon by federal agents. The action drew parents to stand outside Decatur Classical School on Sacramento Avenue. The school sent a letter to parents, saying this happened outside the school, and no students were present at the time. Afternoon PE classes were moved inside as a result. In the letter, the school says mental health professionals are available for students, and that 'As a reminder, our school and CPS WILL NOT coordinate with federal representatives, and we WILL NOT allow ICE agents or any other federal representatives access to our school unless they produce a criminal judicial warrant.'","Hoan Huynh, in Chicago",brandishing,ABC,https://abc7chicago.com/post/illinois-rep-hoan-huynh-says-customs-border-patrol-agent-pulled-gun-montrose-kimball-albany-park-chicago/18053996/,left-leaning
"The Brief: State Rep. Hoan Huynh said federal immigration agents stopped him at gunpoint on Chicago's Northwest Side on Tuesday. Huynh said he was going door to door in Albany Park to educate businesses about their rights if they encounter ICE before being stopped. A DHS official claimed Huynh was ""stalking"" law enforcement and interfering with operations. CHICAGO - A state lawmaker from Chicago said federal immigration agents stopped him at gunpoint on Tuesday on the city's Northwest Side. What we know: State Rep. Hoan Huynh (D-Chicago) said he was in his car on the city’s Northwest Side doing ""community ICE patrol"" when he was surrounded by six Customs and Border Patrol agents, according to a news release. Huynh said one of the agents pulled a gun on him. ""They tried to bash in our car’s windows while we were doing Know Your Rights patrol in the community,"" Huynh said in a Facebook post. ""Thankfully, we weren’t physically harmed, but this was federal agents using violent intimidation trying to silence us. If they can pull a gun on an elected official, there’s no end to the terror they will continue reigning on our communities. We must fight back against this fascist regime that has no place in America."" A state lawmaker from Chicago said federal immigration agents stopped him at gunpoint on Tuesday on the city's Northwest Side. (State Rep. Hoan Huynh's office) Huynh said around 11:30 a.m., he was going door to door in Albany Park to inform local businesses of their rights if they encountered ICE. While he was in the car near the intersection of Montrose Avenue and Kimball Avenue, that’s when the six federal agents ""blocked the front and back of the vehicle, sandwiching it on the street,"" according to a news release. Huynh’s office said his staff began filming and that the lawmaker ""kept his hands visible and clearly and repeatedly states his name and office."" In a video posted on Huynh’s Facebook page, the lawmaker can be heard repeatedly identifying himself while masked agents in camouflage uniforms are standing near the car. One of the agents is seen holding up his phone to the car’s windshield as if he were recording or taking photos. The other side: In a statement, Asst. DHS Sec. Tricia McLaughlin said: ""Rep. Huynh was stopped, not once but, twice today for stalking law enforcement and attempting to interfere with operations. He was given a warning the first time he was stopped, and he ignored that warning forcing agents to get out of their car a second time to assess if he was a threat. This behavior is unbecoming of a public servant and is just another example of sanctuary politicians putting our officers at risk."" The backstory: Tuesday's incident is just the latest incident in which local elected officials have had tense encounters with federal immigration agents amid the Trump administration's so-called Operation Midway Blitz. Also on Tuesday, Chicago Ald. Jessie Fuentes (26th Ward) said she would file a federal claim in connection with her arrest at a Northwest Side hospital earlier this month. Fuentes said she was responding to concerns from staff when ICE showed up with an injured person they had detained. The video of an agent forcibly arresting Fuentes after she asked if they had a judicial warrant for the detained person angered many local officials and activists.","Hoan Huynh, in Chicago",brandishing,FOX,https://www.fox32chicago.com/news/chicago-lawmaker-stopped-gunpoint,right-leaning
"A U.S. Immigration and Customs Enforcement officer fatally shot a man in the Chicago area who drove his car into ICE officers, a representative for the agency said on Friday, adding that the man had been resisting arrest during a vehicle stop.

The man, who the authorities said was not legally in the country, dragged the officer as he fled in his vehicle, the agency representative said. The officer was severely injured and was in stable condition.

ICE identified the man as Silverio Villegas-Gonzalez, 38, who is from Mexico. He was pronounced dead at a local hospital.

The ICE officer “followed his training, used appropriate force and properly enforced the law,” Tricia McLaughlin, the assistant secretary for public affairs at the Department of Homeland Security, said in a statement. She added that “viral social media videos and activists encouraging illegal aliens to resist law enforcement” were undermining public safety.

The agency did not immediately respond to requests about whether the officers involved in the operation were wearing body cameras.

ICE has been conducting a higher number of immigration arrests than usual in the Chicago area this week, under an effort called Operation Midway Blitz. That operation has led to the arrests of several people, including those accused of robbery, assault and other violent crimes, the agency said on Wednesday.

Gov. JB Pritzker of Illinois, a Democrat who has criticized the federal immigration crackdown, said in a statement that he was concerned about the shooting. “The people of Illinois deserve a full, factual accounting of what’s happened today to ensure transparency and accountability,” he said.

In a news conference on Friday evening near the site of the shooting, elected officials and local activists also called for accountability from federal officials. “We know the increasingly aggressive tactics of ICE do not keep our communities safe,” said Lawrence Benito, the executive director of the Illinois Coalition for Immigrant and Refugee Rights.

Residents of Chicago and its suburbs have been watchful for ICE officers and vehicles, reporting activity to hotlines and websites that track the agents. Local officials said they had seen an uptick in sightings since last weekend.

The shooting on Friday took place in Franklin Park, a suburb of Chicago near O’Hare International Airport with a significant Latino population.

A stretch of the street where the shooting took place was closed off with yellow tape on Friday afternoon, and police officers and municipal workers directed traffic away from the area. Shortly after 3 p.m., an F.B.I. evidence recovery team had left the scene, and the driver’s car was being towed.

Jennifer López, 28, who lives in the neighborhood, said she was driving home on Friday morning when she was turned away by a police officer. Ms. López said she did not see the shooting, but pulled over and saw what appeared to be federal agents trying to perform lifesaving measures on a man on the ground.

Since immigration arrests began in the area, many people in her neighborhood, regardless of their legal status, have been on edge, Ms. López said. “They know when and where to go,” she said of immigration agents. “They’re not going downtown. They know where the Hispanic community is.”

The Franklin Park Police Department referred questions about the shooting to the F.B.I., which said in an email that it was “aware of the incident in Franklin Park and is assisting law enforcement in response.” The agency added, “There is no threat to public safety or further information available.”

Family members of Mr. Villegas-Gonzalez could not be reached.

The fatal shooting comes after two other immigrants died in recent months while trying to avoid arrest during a similar blitz by federal agents in Southern California. One Mexican farmworker fell from a greenhouse, and a Guatemalan day laborer was struck by a vehicle on a freeway when he ran from a raid at a Home Depot.

In August, federal agents opened fire on a truck that they claimed tried to hit them when its driver sped away after agents broke its window. No one in the truck was injured.

ICE agents have also been injured. In June, an agent was wounded while detaining a Mexican man in a suburb of Minneapolis. According to prosecutors, the immigrant refused to lower his window during a traffic stop, which prompted an ICE agent to shatter it and reach inside the vehicle. The driver sped off, according to a criminal complaint, dragging the agent 100 yards, which resulted in gashes that required 33 stitches.",Silverio Villegas Gonzalez,fatal,NY Times,https://www.nytimes.com/2025/09/12/us/ice-shooting-chicago.html,left-leaning
"Illinois Gov. JB Pritzker is calling for more ""transparency"" after an ICE officer was seriously injured during an encounter with an undocumented immigrant outside Chicago. The suspect was shot and killed after allegedly dragging the officer for a significant distance with his car. 

ICE Deputy Director Madison Sheahan pushed back on Pritzker’s comments, accusing Democrats of siding with illegal migrants over law enforcement.

""They obviously continue to take the sides of these criminal illegal aliens who put our people in harm's way,"" said Sheahan Tuesday on ""Fox & Friends.""

""Not just officers, it's the people of Chicago, people of these communities that these Democrats and Governor Pritzker continue to choose to protect.""
People stand near a memorial with candles and flowers

The Department of Homeland Security identified the suspect as Silverio Villegas-Gonzalez and said he resisted arrest and attempted to flee during a traffic stop. Sheahan said Villegas-Gonzalez, who entered the United States at an unknown date, had a record of reckless driving and a final order of removal. 

When officers tried to detain him, he allegedly drove toward them, striking and dragging one agent. The officer then opened fire. Villegas-Gonzalez was taken to a hospital where he later died. 

Sheahan said the ICE agent was put ""in critical condition,"" but has since returned home. 

On Monday, Pritzker said he has requested more details about how the failed arrest unfolded, but has received few details.

""We need more information. We've asked ICE for all of the information around it. They have given very little,"" he said. 

""ICE is unwilling to provide the transparency that I think the American public and the public here deserves.""

Sheahan rejected the governor’s scrutiny. 

""It is under investigation and we're [going to] continue to make sure we are transparent. The claims that we're not is just false,"" she said. 

The dispute comes as ICE expands ""Operation Midway Blitz"" across Chicago and Illinois. The effort is aimed at arresting illegal immigrants with criminal histories. 

However, Pritzker and Chicago Mayor Brandon Johnson have strongly resisted the operation. 

Earlier this month, Johnson wrote on X: ""Chicago doesn't want to see reckless, unconstitutional, militarized immigration enforcement in our city.""

Sheahan has noted that anti-ICE rhetoric makes officers’ jobs more dangerous. 

""We're already at over a thousand percent increase year over year of the dangers that our officers are in because of the rhetoric that we're seeing online, the dangers of what elected officials continue to say,"" she said. 

Despite the pushback, Sheahan said ICE will continue its mission with the backing from the White House.

""Law enforcement officers overwhelmingly want to work with ICE to keep their [communities] safe,"" she said.

""And with the leadership of President Donald Trump and Secretary Kristi Noem, we'll continue to do this throughout the country.""",Silverio Villegas Gonzalez,fatal,FOX,https://www.foxnews.com/media/ice-rips-pritzker-siding-criminal-illegal-alien-after-officer-dragged-suspect-shot-dead,right-leaning
"A Democratic mayor running for Congress in Illinois was teargassed Friday morning during a small protest outside an Immigration and Customs Enforcement (ICE) facility in suburban Chicago, he said.

At least one other person, who identified herself on social media as Kat Abughazaleh, a former journalist also running for Congress, landed on the ground during the encounter after she was pushed by a federal law enforcement agent in a camouflage uniform wearing a full face covering, sunglasses and a helmet, video by CNN affiliate WBBM shows.

Abughazaleh has been attending protests for three weeks, she told CNN after Friday’s incident, and learned last week people were being deported early in the morning.

So Abughazaleh and other protesters showed up earlier, she said.

“We stood in front of the van and they (an officer) came out and picked me up and threw me on the ground,” Abughazaleh said, adding that federal agents fired pepper balls at her and weaponless protesters carrying signs.

“I got shot all over my body,” she said.

The facility in the village of Broadview has drawn small protests since its leaders got word in early September “a large-scale enforcement campaign will soon be underway” as part of the sweeping immigration agenda that helped secure a second term for President Donald Trump but most Americans oppose.

The Midway Blitz Operation has resulted in nearly 550 arrests, according to Tricia McLaughlin, assistant secretary for public affairs at the Department of Homeland Security.

“Every arrest is a testament to DHS and its law enforcement’s dedication to enforcing the laws of our nation. We will not be deterred by sanctuary politicians or violent rioters,” McLaughlin said in a statement.

Marcos Charles, the acting head of ICE’s Enforcement and Removal Operations, told The Associated Press in an interview there is “not an end date in sight” for the operation. “We’re going to be conducting this operation until we feel that we’ve been successful,” Charles told AP, adding other agencies have helped federal agents in making the arrests.

ICE previously said the operation resulted in the arrest of hundreds of people the agency described as criminal illegal aliens, including Tren de Aragua gang members and those with prior criminal histories.

At least 10 protesters arrested, group says

Daniel Biss, the mayor of Evanston, Illinois, spoke about the incident in a video posted late Friday morning to his X account, saying: “Not only did they come with weapons and violence, show of force and drive a van into us, but then they teargassed us, and I have to tell you, it was terrifying.”

“It was impossible to breathe, and really, really scary,” he goes on. “But the point is: They are trying to intimidate us, to stop us from standing up and being a part of a nonviolent resistance, and we will not be intimidated.”

CNN has reached out to Biss’ office.

Chicago Alderman Byron Sigcho-Lopez said he was at the protests outside the facility Friday. Before agents shot at the crowd, protesters were “just expressing discontent with all these shameful operations,” he said.

“We condemn and we reject these tactics, and we want ICE out of our neighborhoods, out of our state. And we want these facilities, like the Broadview facility where we have multiple reports of inhumane conditions, to be shut down,” he told CNN Saturday.

Biss is the latest elected official to have a confrontation with law enforcement as some have joined protesters against increased ICE activity.

In Manhattan on Thursday, 11 state and local New York officials were arrested after they demanded access to an ICE facility, city officials said.

Other confrontations include New York City comptroller and mayoral candidate Brad Lander, who was arrested at Manhattan’s immigration court in June; Newark Mayor Ras Baraka who was arrested in May after attempting to enter an immigration detention facility in the city; and Democratic Rep. LaMonica McIver who was indicted on federal charges alleging she impeded and interfered with immigration officers outside the same Newark detention center.

Near Chicago Friday, more than a hundred people described by ICE as “rioters” assaulted law enforcement, threw tear gas cans, slashed tires of cars, blocked the entrance of the building, and trespassed on private property, the agency said in a statement to CNN.

Federal immigration operations ramping up in Chicago and Boston as other sanctuary cities are on alert.

“Police under JB Pritzker’s sanctuary jurisdiction refused to answer calls for assistance multiple times,” according to the statement.

Federal agents arrested three people involved in the morning protest, according to the agency, which said its officers are facing more assaults this year compared to last.

“Throughout the morning, vans have shown up to pick up and drop off rioters,” according to ICE. “This is an organized effort to obstruct ICE law enforcement.”

By the end of the day, federal agents had arrested 10 people involved in the protest, who have now all been released, according to Brad Thomson with National Lawyers Guild of Chicago.

“Our legal observers witnessed extreme examples of violence by federal agents, which resulted in numerous injuries,” he said in a statement to CNN.

Sigcho-Lopez called for support from local and state politicians.

“What we need is the full action and the full weight of our local government to protect our constituents” who are afraid of leaving their homes or go to work, he said. “I’m calling on Gov. Pritzker to move beyond the rhetoric, to understand what’s happening on the ground, to work with us to make sure that our schools, our hospitals, our churches are protected.”

“I’m going to have a bruise up my side, but anything that we’re dealing with out here doesn’t hold a candle to … (what) the people that are trapped in that facility are dealing with,” Abughazaleh told WBBM, referring to the altercations between police and protesters at the Broadview facility.

“They aren’t supposed to be there for more than 12 hours. They’re being held for days or weeks at a time. We need to get it shut down,” she told WBBM.
A Democratic mayor running for Congress in Illinois, Daniel Biss posted video Friday from a protest outside an ICE facility near Chicago where he said he was teargassed.
A Democratic mayor running for Congress in Illinois, Daniel Biss posted video Friday from a protest outside an ICE facility near Chicago where he said he was teargassed.
From Daniel Biss

CNN anchor and correspondent Maria Santana was reporting from the scene when she and her team were hit by pepper balls and tear gas that officers fired into the crowd. “At that time, I can tell you, it is very hard to breathe, very hard to talk, your eyes begin to water,” she reported.

The Department of Homeland Security decried the protesters: “Desperate politicians want their 15 minutes of fame and they’re willing to do it off the backs of our law enforcement,” the agency posted to X on Friday morning atop a news broadcast video of a Chicago ICE protest. “They are putting them at further risk to get on TV, just to get a viral tweet. It’s pretty despicable.”

Recently, two ICE officers “had cars used as weapons against them,” the agency said.

“The men and women of ICE put their lives on the line to protect the people of Illinois and all Americans,” McLaughlin said.

Protests outside the Broadview facility continued midday Friday, with a handful of demonstrators holding up signs and cellphones toward a fence topped with barbed wire, video from the scene shows.

Toni Preckwinkle, president of the Cook County Board of Commissioners, described the incidents at the facility as “deeply troubling,” saying: “We have seen reports of people exercising their First Amendment rights being tear gassed, pushed, threatened and pepper sprayed by masked federal agents. Members of the press were also targeted with tear gas.”

The board, he added, has passed a resolution calling out ICE for what Preckwinkle described as unlawful tactics such as “stopping people in unmarked cars, refusing to identify themselves, hiding their faces with masks and terrorizing our communities.”

Evanston is a progressive stronghold and home to Northwestern University, about 15 miles north of Chicago’s Loop and some 30 miles from Broadview. ",Mayor,lesslethal,CNN,https://www.cnn.com/2025/09/19/us/ice-chicago-protests-broadview,left-leaning
"A viral video showing an Illinois Democratic congressional candidate being shoved to the ground during an anti-ICE protest in suburban Chicago has sparked online debate, with people on the left expressing outrage toward ICE and conservatives placing blame squarely on the protesters disrupting law enforcement operations.

Kat Abughazaleh, an activist, former reporter and Democratic candidate for Congress, posted the video to her X account on Friday, saying, ""This is what it looks like when ICE violates our First Amendment rights.""

The video showed armed, masked federal officials forcibly removing Abughazaleh, who is also wearing a mask, from the front of an ICE vehicle that she appeared to be blocking.

Other agents can be seen directing Abughazaleh and a group of protesters to get out of the way of the vehicle. One agent pushes Abughazaleh, who, despite resisting, flops onto the street.

Another angle of the incident shows Abughazaleh immediately getting back up and charging the agents, who again push her back. Other protesters can be heard taunting the agents and shouting expletives.

In another X post, Abughazaleh wrote, ""What ICE just did to me was a violent abuse of power — and it’s still nothing compared to what they’re doing to immigrant communities.""

Speaking with a reporter after the incident, Abughazaleh said, ""We have no weapons. We have signs and chants and songs, and they are treating us like it's a war zone.""

She said the vehicle she was attempting to block contained another protester who was arrested earlier in the morning.

""ICE came in and tried to drive the car through us. They almost ran someone over. We did not move, we stood strong and that's when they brought out the pepper balls. That's when they brought out the tear gas,"" she said.

In response, Homeland Security Assistant Secretary Tricia McLaughlin accused Abughazaleh of seeking attention for her campaign by attempting to ""obstruct justice.""  

McLaughlin told Fox News Digital, ""This fame-hungry, cable TV candidate is so desperate for her 15 minutes of fame that she will go so far as to put our law enforcement at risk and obstruct justice.""

Others on social media condemned Abughazaleh for attempting to interfere in a law enforcement operation.

Conservative commentator Greg Price posted that it was Abughazaleh's actions that resulted in her being ""tossed to the ground.""

""Impeding a federal ICE operation is a crime,"" he wrote.

Another commentator, Paul Szypula, suggested that the government ""arrest her immediately and prosecute her for her numerous federal crimes."" 

""Make a legal example out of this maniac,"" he added.

Local outlet ABC 7 reported that three protesters were arrested on Friday in Broadview, Illinois, after federal officials clashed with a group of protesters blocking ICE vehicles from entering and exiting the facility. The outlet reported that, at one point, federal officials deployed riot control smoke to push back the crowds.

The outlet said protesters plan to continue the protests weekly as the Trump administration ramps up its ""Operation Midway Blitz"" to crack down on illegal immigrant crime in the Chicago area.

A spokesperson for ICE also commented on the incident, telling Fox News Digital, ""Once an activist, always an activist.""

""Kat Abughazaleh’s irresponsible behavior inciting violence and encouraging lawlessness puts a selfish publicity stunt over the safety of officers, facility employees and detainees,"" said the spokesperson. 

Fox News Digital reached out to Abughazaleh’s campaign for comment but did not immediately receive a response.",Mayor,lesslethal,FOX,https://www.foxnews.com/politics/democratic-congressional-candidate-thrown-ground-during-anti-ice-protest,right-leaning
"A traffic stop outside of Baltimore Wednesday ended with an undocumented man shot and another injured after US Immigration and Customs Enforcement agents allege the driver of a van drove directly at officers, prompting them to open fire.

It is the second incident publicized this week where ICE agents shot at an undocumented person during an operation after the person allegedly attempted to hurt agents, although that person wasn’t hit by gunfire.

In Wednesday’s incident, the driver of the van was shot and another undocumented migrant in the van was injured, but both are in stable condition and are expected to recover, the Department of Homeland Security said.

After a year of violent encounters between DHS and the public, the confrontation provides another example of how car crashes and rammings are taking center stage in encounters with federal agents as immigration enforcement has ramped up across the country.

Stop by ICE agents leads to shooting
ICE officers were in Glen Burnie, Maryland, Wednesday conducting “a targeted immigration enforcement operation” when they attempted to stop the two men, DHS Assistant Secretary Tricia McLaughlin said in a statement.

The undocumented migrants were identified as Tiago Alexandre Sousa-Martins, a Portuguese man who was driving the van, and Solomon Antonio Serrano-Esquivel, a man from El Salvador who was a passenger, McLaughlin said.

Officers approached the van and asked Sousa-Martins to turn off the engine, but he refused and attempted to leave the scene, she said. He started ramming ICE vehicles and “then drove his van directly at ICE officers” as “it appeared he was trying to run them over,” McLaughlin said.

“Fearing for their lives and public safety, (officers) defensively fired their service weapons, striking the driver,” she said. Sousa-Martins then wrecked his car between two buildings, McLaughlin said, although photos shared by the agency on X show a white van crashed into a tree. CNN has reached out to DHS for clarification.

In the process of the crash, Serrano-Esquivel was also injured, she said.

Officers immediately gave medical care to the two men and took them to the hospital, McLaughlin said, adding no ICE agents were injured.

Sousa-Martins came to the US from Portugal in December 2008, but didn’t leave the country when his visa expired in February 2009, DHS said. The agency didn’t provide additional information on Serrano-Esquivel’s immigration history.

It is not immediately clear if the two men obtained legal representation.

CNN has reached out to local law enforcement in the area to see if they responded to the incident.

As images of dramatic immigration operations have risen across the country over the last year, incidents involving cars has become a common occurrence.

“Aggressors are now purposefully running into officers, boxing in law enforcement vehicles, running ICE law enforcement off the roads, and ramming their cars into law enforcement vehicles,” Emily Covington, ICE Assistant Director of Public Affairs, told CNN in October.

But the agency has been criticized for using the tactic itself, including controversial “precision immobilization technique” or “PIT” maneuvers, which force a car to spin out and stop. Experts have told CNN the maneuver is considered a use of deadly force.

In October, Marimar Martinez was shot by a Customs and Border Patrol agent after the agency alleged she purposefully rammed into an agent’s car. US District Judge Georgia Alexakis, who presided over the case, ultimately dropped the charges after repeatedly raising concerns on how the investigation was handled and discrepancies that appeared.

Other incidents in Chicago, including a man that was fatally shot during a traffic stop, have infuriated the community and caused widespread condemnation as agents under the DHS umbrella have been accused of lying in court and presenting different scenarios in public statements versus court documents.",Glen Burnie,injured,CNN,https://www.cnn.com/2025/12/24/us/ice-undocumented-shooting-maryland,left-leaning
"Two people were injured after U.S. Immigration and Customs Enforcement agents opened fire on a van in Maryland on Christmas Eve when the driver allegedly tried to run them over during a law enforcement operation, officials said.

Anne Arundel County Police Department spokesperson Justin Mulacahy said officers responded to West Court in Glen Burnie at about 10:50 a.m. Wednesday for reports of a shooting involving ICE Enforcement and Removal Operations agents.

A preliminary investigation found that ICE agents were conducting a detail in the area when they approached a white van, according to police.

Police alleged the driver attempted to run the agents over, prompting ICE agents to open fire on the vehicle.

The van then accelerated before stopping in a wooded area of a nearby residential neighborhood.

Mulacahy said one person inside the van was struck by gunfire and transported to an area hospital, where he was listed in stable condition.

Another person outside the van sustained minor injuries and was treated at an area hospital.

The Department of Homeland Security (DHS) said on X that the agents identified the driver of the van as Tiago Alexandre Sousa-Martins, an illegal alien from Portugal. Solomon Antonio Serrano-Esquivel, an illegal alien from El Salvador, was the passenger, DHS said.

According to DHS, the officers approached the van and told Sousa-Martins to turn off the engine, but he refused and attempted to flee. Sousa-Martins also allegedly began to ram his vehicle into several ICE vehicles before driving the van at ICE agents.

""Fearing for their lives and public safety, the ICE officers defensively fired their service weapons, striking the driver,"" DHS said. ""Sousa-Martins then wrecked his van between two buildings, injuring the passenger.""

The agents rendered medical aid to both the driver and passenger, DHS added, before they were transported to the hospital for treatment.

""Our brave officers are risking their lives every day to keep American communities safe by arresting and removing illegal aliens from our streets,"" DHS said. ""Continued efforts to encourage illegal aliens and violent agitators to actively resist ICE will only lead to more violent incidents. The extremist rhetoric must stop.""

The incident has triggered at least three investigations. The Anne Arundel County Police Department’s Criminal Investigation Division will review the shooting, while the FBI will investigate the alleged assault on federal agents.

ICE will also conduct an internal investigation through its Office of Professional Responsibility.

Anne Arundel County Police Chief Amal Awad said the multiple investigations are standard procedure in incidents involving federal and local agencies and emphasized that her department was not involved in the shooting.

""No Anne Arundel resources were involved in this incident, nor were they present,"" she said.

No further details were immediately available as the investigations continue.",Glen Burnie,injured,FOX,https://www.foxnews.com/us/ice-agents-open-fire-van-driver-who-allegedly-tried-run-them-over-christmas-eve,right-leaning
"A public meeting was held on Tuesday night in Morris County, New Jersey, after shots were fired earlier in the day in Roxbury Township during a U.S. Immigration and Customs Enforcement operation. Dozens of people packed two rooms and spoke out against ICE. Purpose of the ICE enforcement in Roxbury Township A spokesperson for the Department of Homeland Security said ICE was conducting a targeted enforcement to arrest Jesus Lopez-Banegas, but said he tried to evade arrest, rammed into a law enforcement vehicle, and attempted to run over an officer. DHS released a statement saying, in part, ""Following his training, the officer defensively used his firearm and shot out the tires of the vehicle to stop the threat."" Officials said no one was injured and Banegas was taken into custody. DHS said Banegas is from Honduras and came illegally to the U.S., adding a judge ordered his removal in 2021. The agency said he has a criminal history that includes charges for drug trafficking, drug possession, and driving under the influence. Residents say they have hard time taking DHS at its word ""I was born here, but I'm still nervous. It does not go by me every day to think that I could be stopped,"" Roxbury Township resident Sharon Medina said at Tuesday night's meeting. ""I saw a video earlier today where the gentleman was not in a car and there was a gun drawn facing him in the street in our area,"" resident Diana May said, later adding, ""I wish I could say that I believed our government officials, but I no longer do, because we heard these same things with Renee Good and with Alex Pretti in Minnesota and they're not true."" Medina said the incident happened too close to home. ""[It] made me very upset. As a person of color, as a Latina, a proud Latina, we don't feel safe going out,"" Medina told CBS News New York. Residents are now calling for a full investigation. New Jersey Acting Attorney General Jennifer Davenport said her team is doing just that and is asking anyone with video or information to come forward.
",Roxbury,shooting,CBS,https://www.cbsnews.com/newyork/news/ice-enforcement-roxbury-township-morris-county-new-jersey/,left-leaning
"U.S. Immigration and Customs Enforcement (ICE) said a Honduran criminal illegal alien rammed a law enforcement vehicle during an arrest attempt in New Jersey on Tuesday, forcing an agent to shoot out the suspect’s tires. 

Dramatic video shows the officer drawing his gun during the tense roadside confrontation. The incident unfolded in Roxbury Township when ICE said suspect Jesus Fabian Lopez-Banegas tried to evade arrest by crashing into a law enforcement vehicle and nearly striking an officer. Roxbury Township is in Morris County, roughly 35 miles northwest of Newark.

Video shows an agent drawing his firearm at the crash scene, where a law enforcement vehicle and the suspect’s pickup truck sit nose-to-nose along a snowy roadside.

The agent stands with his gun trained on the vehicle as the suspect eventually steps out and raises his hands, backing away from the officer.

""In an attempt to evade arrest, Lopez-Banegas rammed into a law enforcement vehicle and weaponized his vehicle in an attempt to run an officer over,"" a Department of Homeland Security spokesperson said.

""Following his training, the officer defensively used his firearm and shot out the tires of the vehicle to stop the threat. Thankfully, no one was injured. Officers arrested Banegas and took him into ICE custody.""

Lopez-Banegas’ criminal history includes drug trafficking charges, drug possession and driving under the influence, DHS said. In 2021, a judge issued him an order of removal.

Acting New Jersey Attorney General Jennifer Davenport said her office is investigating the incident.

""We are actively investigating an incident involving ICE ERO (Enforcement and Removal Operations) in which a firearm was discharged in Roxbury Township earlier today. There are no known injuries,"" Davenport said.

""Local law enforcement secured the scene with the cooperation of the Morris County Prosecutor’s Office and Morris County Sheriff’s Office, and the Office of Public Integrity and Accountability is conducting an independent investigation,"" Davenport added. ""We have also been in communication with federal, state, county, and local law enforcement partners.""

The incident comes as the Department of Homeland Security said officers are facing a 3,200% increase in vehicle attacks and a more than 1,300% increase in assaults against them as they try to arrest criminal illegal aliens.",Roxbury,shooting,FOX,https://www.foxnews.com/us/ice-accuses-honduran-alien-ramming-law-enforcement-vehicle-before-agent-shoots-out-tires,right-leaning
"U.S. Border Patrol shot a man with an active arrest warrant after he fired at federal agents Tuesday during a foot chase near the U.S.-Mexico border in Arizona, Pima County Sheriff Chris Nanos said.

The man, identified by federal authorities as Patrick Gary Schlegel, 34, escaped from a facility in December while serving a 36-month sentence for human smuggling, according to court documents.

Border Patrol agents recognized Schlegel’s vehicle Tuesday and tried to stop him, Heith Janke, special agent in charge at the FBI’s Phoenix bureau, said at a news conference. He said Schlegel ran and fired at a Customs and Border Protection helicopter.

The agents returned fire, Janke said.

Schlegel, a U.S. citizen, was in critical condition when medical crews arrived at 7:37 a.m. in Arivaca, an unincorporated community in Pima County, according to a news release from the Santa Rita Fire District. He was transferred by helicopter to a regional trauma center.

He remained in serious but stable condition Tuesday afternoon, Nanos said. No agents were wounded during the pursuit.

The Department of Homeland Security, Border Patrol’s parent agency, said in a statement that Schlegel “fired at an Air and Marine Operations helicopter and fired at USBP agents” and that agents returned fire. Border Patrol’s Office of Professional Responsibility is investigating, alongside the FBI and the Pima County Sheriff’s Department, DHS said.

Based on preliminary information, Nanos said he thought the use of force was probably permissible.

“In this case, we believe … that agent acted lawfully,” he said. “That’s our belief, based on what we know today, right at this moment. The investigation is still ongoing.”

Federal authorities will recommend charging Schlegel with assault on a federal officer, human smuggling and illegal possession of a firearm, Janke said.

Tuesday’s shooting follows three incidents in Minneapolis this month that have drawn growing scrutiny of the Trump administration’s federal immigration crackdown, and the way Border Patrol and immigration officials enforce those missions. Alex Pretti was shot and killed by Border Patrol; Renée Good was fatally shot by Immigration and Customs Enforcement; and Julio Cesar Sosa-Celis was shot by ICE but survived.",Pima County,injured,Washington Post,https://www.washingtonpost.com/nation/2026/01/27/arizona-border-patrol-shooting/,left-leaning
